Date,Deaths
"2020-03-01",0
"2020-03-02",0
"2020-03-03",0
"2020-03-04",0
"2020-03-05",0
"2020-03-06",0
"2020-03-07",0
"2020-03-08",0
"2020-03-09",0
"2020-03-10",0
"2020-03-11",0
"2020-03-12",0
"2020-03-13",0
"2020-03-14",0
"2020-03-15",0
"2020-03-16",3
"2020-03-17",3
"2020-03-18",3
"2020-03-19",3
"2020-03-20",3
"2020-03-21",16
"2020-03-22",20
"2020-03-23",21
"2020-03-24",25
"2020-03-25",36
"2020-03-26",42
"2020-03-27",66
"2020-03-28",92
"2020-03-29",102
"2020-03-30",110
"2020-03-31",146
"2020-04-01",180
"2020-04-02",239
"2020-04-03",282
"2020-04-04",333
"2020-04-05",373
"2020-04-06",401
"2020-04-07",477
"2020-04-08",591
"2020-04-09",687
"2020-04-10",793
"2020-04-11",870
"2020-04-12",887
"2020-04-13",899